Page ID,Page Name,Disclaimer,Amount Spent (USD),Number of Ads in Library
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,169348,4927
416707608450706,Tom Steyer,TOM STEYER 2020,168153,202
73970658023,International Rescue Committee,International Rescue Committee,65070,184
925007000949719,ExxonMobil,Exxon Mobil Corporation,46143,144
54684090291,Partnership for Drug-Free Kids,The National Center on Addiction and Substance Abuse with Facebook ad credits,37996,38
8532248414,Wounded Warrior Project,"WOUNDED WARRIOR PROJECT, INC.",30605,39
124955570892789,Bernie Sanders,BERNIE 2020,30274,420
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",28348,877
123450447708791,Energy Upgrade California,California Public Utilities Commission,25160,7
136299005939,Heifer International,HEIFER PROJECT INTERNATIONAL,24053,94
1039701332716228,Pete Buttigieg,"PETE FOR AMERICA, INC.",19333,2717
33110852384,Doctors Without Borders/ Médecins Sans Frontières (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF),16441,255
32682889528,U.S. Chamber of Commerce,The U.S. Chamber of Commerce,16074,25
6204742571,Sierra Club,SIERRA CLUB,14507,424
791543660926838,"I'll go ahead and keep my guns, Thanks",2A4LIFE LLC,13693,86
81517275796,UNICEF USA,UNITED STATES FUND FOR UNICEF,13637,144
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,13386,316
7860876103,Joe Biden,BIDEN FOR PRESIDENT,12918,375
121388362246,Goldman Sachs,Goldman Sachs & Co.,12750,23
11131463701,truth,TRUTH INITIATIVE FOUNDATION,12287,99
342294162453301,Planned Parenthood,Planned Parenthood Federation of America,10374,269
127225910653607,PragerU,PragerU,10106,233
117580534956446,Kellogg's Frosted Flakes,Kellogg Company,9994,1
602714436529710,End Citizens United,END CITIZENS UNITED,9897,105
1109093812491437,Blaze Media,Blaze Media LLC,9630,43
681626158940626,Mission Roll Call,Americas Warrior Partnership,9541,34
1025055787535714,A Case for Women,A Case for Women,9396,11
2352630938293825,Mytacticalpromos,Entremax,9393,26
92925746942,Judicial Watch,Judicial Watch,8996,416
121626482110,Operation Smile,"OPERATION SMILE, INC.",8750,265
15239367801,The Wilderness Society,"WILDERNESS SOCIETY, THE",8724,230
8934429638,Planned Parenthood Action,Planned Parenthood Action Fund,8655,422
30139072158,CARE,CARE,8621,61
111393882812494,Amy McGrath,"AMY MCGRATH FOR SENATE, INC.",7972,133
110749446963570,Courier,Courier Newsroom,7779,92
101018071405012,Benefits USA,Brooklyn Kathleen Foster,7734,9
25852730092,Care2,Care2 Inc,7248,49
20787991568,Senate Democrats,DSCC,7033,312
156994304362574,American Bridge,AMERICAN BRIDGE 21ST CENTURY,7004,48
56680318666,Illinois Policy,Illinois Policy,6794,13
7606381190,Amy Klobuchar,AMY FOR AMERICA,6406,56
15041226930,Oxfam,"OXFAM AMERICA, INC.",6323,28
23875187730,Feeding America,Feeding America,6107,66
27544763621,Prison Fellowship,Prison Fellowship,5972,864
309308412520731,Sandy Hook Promise,Sandy Hook Promise,5971,81
717115395103069,PrintedKicks,Printed Kicks,5868,18
25055115099,Intuit,INTUIT INC.,5818,403
156968474833352,Stop Republicans,Stop Republicans,5771,45
