Page ID,Page Name,Disclaimer,Amount Spent (USD)
﻿834806283563802,Domingo Torres Representante Distrito 25,Domingo J. Torres Garcia,≤100
1787981661474767,San Juan "la Ciudad Patria",These ads ran without a disclaimer,≤100
157506044955437,The Andrew W. Mellon Foundation,"ANDREW W. MELLON FOUNDATION, THE",≤100
292075591645198,Peter J. López Norat - Senador por Acumulación PPD,Moises Reyes Maldonado,≤100
292680997602545,Manuel Calderón Cerame,Comité Manuel Calderón Cerame,≤100
264921133562949,Eduardo Bhatia,Comité Equipo Bhatia,≤100
11131463701,truth,TRUTH INITIATIVE FOUNDATION,≤100
205238189588054,"Race, Racism and the Law",Professor Vernellia Randall,≤100
970301389805884,Ángel “Beto” Pérez,Ana de Lourdes Arocho Sánchez,≤100
1418111495154156,"Jaime Alverio Ramos, Alcalde 2020",Jaime Alverio Ramos,≤100
2195247860693983,Luis Rodríguez,Luis A Rodriguez Diaz,≤100
1691667177798461,Brut,Brut,201
621144291234625,Miguel Romero,Comité Miguel Romero,≤100
205621160218305,Dr. Luis M. Irizarry Pabón 2020,Dr. Luis M. Irizarry Pabón 2020,≤100
1437565483144916,중앙선거관리위원회,These ads ran without a disclaimer,≤100
61288747990,Real Warriors,Real Warriors Campaign,≤100
1864721517082089,Democratic Attorneys General Association,Democratic Attorneys General Association,≤100
319765995532065,Julio Geigel Alcalde Humacao 2020,Julio Luis Geigel Perez,≤100
6756153498,Mike Bloomberg,Mike Bloomberg 2020 Inc,≤100
182079698493370,Portside,Portside,≤100
819212211804478,Karma Honey Project,Candice Marie Galek,≤100
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",≤100
1639730212934172,"DOVA International Charities, Ltd, 501c3 Non-Profit Charity",Kathleen Louise D'Ovido,≤100
294963660620753,Pedro R. Pierluisi,"Comité Pedro Pierluisi, Inc.",≤100
173199999989897,Yamilet González - Representante Distrito 21,Yamilet Gonzalez Alicea,≤100
397447437669420,Miguel "Ricky" Méndez,Miguel "Ricky" Méndez,≤100
409835579621290,Erasmo Vázquez Hernández,Thay An Marie Vazquez Méndez,≤100
