Page ID,Page Name,Disclaimer,Amount Spent (USD)
﻿474747745952487,Bdeshfoundation,"B Desh Foundation, Inc.",≤100
154510321337994,Chris Pappas for Congress,CHRIS PAPPAS FOR CONGRESS,≤100
6041057841,The Humane Society of the United States,"HUMANE SOCIETY OF THE UNITED STATES, THE",≤100
2283535575207809,Ditch Mitch,DITCH FUND,≤100
104523977720056,Savvy Market Picks,Savvy Market Picks,≤100
96710501132,Eurasia Group,"EURASIA GROUP, LTD.",≤100
169710960125365,Curzio Research,Curzio Research Inc.,≤100
291260461373618,News and News,News and News,≤100
102866451139959,Jimmy Van Bramer for Queens Borough President,Van Bramer 2020,≤100
1397799040234106,OpinionUP,OpinionUP LLC,≤100
110351637114381,US Homeowners Savings,Mimi Bonny Nguyen,≤100
852126105133242,Jerry Ford for Congress,Jerry Ford for Congress,≤100
410143045995386,Patients for Affordable Drugs,Patients for Affordable Drugs Inc.,≤100
2109637279297531,The Bad Seed,Adam Kidron,≤100
1033824956707003,Primal Light Press,James Robert Duncan,≤100
244582632289534,The Family & Youth Institute,The Family and Youth Institute,≤100
54684090291,Partnership for Drug-Free Kids,The National Center on Addiction and Substance Abuse with Facebook ad credits,≤100
104188284328588,US Polling Research,US Polling Research LLC,≤100
101580094659577,Eff Yo Couch Cast,Jared H Foles,≤100
112114435501106,Hugh Hewitt,Salem Media,≤100
117507751891,United Poultry Concerns,"UNITED POULTRY CONCERNS, INC",≤100
217137015152702,National Sikh Campaign,We Are Sikhs,≤100
380243416105600,Geanie Morrison,Geanie Morrison Campaign,≤100
5998839406,NARAL Pro-Choice Texas,NARAL Pro-Choice Texas,≤100
108777231824,Manhattan Institute for Policy Research,MANHATTAN INSTITUTE FOR POLICY RESEARCH INC,≤100
1711465445765878,Nancy Pelosi,NANCY PELOSI FOR CONGRESS,≤100
134493793251284,Delegate Dr. Jay Jalisi for Congress,"DR JAY FOR CONGRESS, INC.",≤100
385473284886474,Hillsdale College,HILLSDALE COLLEGE,≤100
802271849850801,Freedom for All Americans,Freedom for All Americans,≤100
88224465289,Dropps,"Dropps (Cot'n Wash, Inc.)",≤100
102988591071943,Daniel Gade For Virginia,"GADE FOR VIRGINIA, INC.",≤100
1118677698164230,Meli Wraps,Jaime Ella Harmon,≤100
112915449419503,Agayindependent,AGayIndependent,≤100
7341997111,Conservation International,Conservation International,≤100
345504286342057,Keeping America Great Again,RightWingGear.com,≤100
321250352104571,Valerie Plame,VALERIE PLAME FOR CONGRESS,≤100
2322760638043788,Silver State Foundry,Thunderbird Media Group,≤100
145889928474,Greater Pittsburgh Community Food Bank,GREATER PITTSBURGH COMMUNITY FOOD BANK,≤100
21559454473,FAIR,FEDERATION FOR AMERICAN IMMIGRATION REFORM,≤100
296093157932840,The Fulcrum,Issue One,≤100
1955471264486935,The Colorado Sun,The Colorado Sun,≤100
389119978332258,We Are Apartments,The National Association of Apartments and the National Multifamily Housing Council,109
100501598131634,Hotel and Motel Trafficking,X Social Media,≤100
125769584126996,Yael Eckstein,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",≤100
36474716066,Color Of Change,COLOROFCHANGE.ORG,≤100
170582513587720,Liberty Through Wealth,Meghan Deanne Mercer,≤100
336470580233523,Pins and Aces Golf Co.,US Craft Brands LLC,≤100
745910525468062,National Center on Sexual Exploitation,National Center on Sexual Exploitation,≤100
44667476574,In These Times,INSTITUTE FOR PUBLIC AFFAIRS,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
82116002806,The Task Force for Global Health,"TASK FORCE FOR GLOBAL HEALTH, INC., THE",≤100
100374388047994,Producsio,Producsio,≤100
1997948090437271,Global Emergency Response Coalition,Global Impact,≤100
183989338318281,The American Legion National Headquarters,LEGIONNAIRE,≤100
925007000949719,ExxonMobil,Exxon Mobil Corporation,≤100
7976226799,The Daily Show,Comedy Central,≤100
57846092173,American Bible Society,American Bible Society,≤100
38235851310,USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,132
621819117994495,24/7 Injury Attorney Network,Toro Media LLC,≤100
54787697857,Ron Wyden,WYDEN FOR SENATE,≤100
133937690180,Student Conservation Association,Student Conservation Association,≤100
1658135304460341,MANG,MANG,≤100
345378512258813,Elise Stefanik,ELISE FOR CONGRESS,≤100
