Page ID,Page Name,Disclaimer,Amount Spent (USD)
﻿127225910653607,PragerU,PragerU,≤100
8492293163,Environmental Defense Fund,Environmental Defense Fund,≤100
238298166763981,Menefee For Congress,Jon Menefee,≤100
10766391539,POZ Magazine,"CDM PUBLISHING, LLC",≤100
26689153393,Muslim Public Affairs Council - MPAC,Brandon Edward Mcrae,≤100
738298126313472,John Thomas Political Strategist,The Thomas Guide Show,≤100
562118050848255,Adam Hattersley,Adam Hattersley for Congress,≤100
121033149320,American Indian College Fund,"AMERICAN INDIAN COLLEGE FUND, THE",≤100
23875187730,Feeding America,Feeding America,≤100
190062194353228,Wycliffe Associates,"WYCLIFFE ASSOCIATES, INC.",≤100
1033824956707003,Primal Light Press,James Robert Duncan,≤100
18780321251,American Chemistry,"AMERICAN CHEMISTRY COUNCIL, INC.",≤100
324119001078997,"Sanford Heisler Sharp, LLP","Sanford Heisler Sharp, LLP",≤100
197669827395385,Connected Commerce Council,Connected Commerce Council,≤100
210277954204,The Young Turks,"The Young Turks, Inc.",≤100
133722794545,Generosity.org,Brandon Edward Mcrae,≤100
329286557095658,Joyce Beatty for Congress,Beatty for Congress,≤100
104599691003943,Cenk Uygur for Congress,Cenk for Congress,≤100
129624603725463,America's Future Foundation,America's Future Foundation,≤100
112767930190251,Kay Granger Campaign,KAY GRANGER CAMPAIGN FUND,≤100
130112937326,Xcel Energy,"Xcel Energy Services, Inc.",≤100
192609620649,The University of Chicago,The University of Chicago,≤100
103717967678158,Support The 2nd,Support The 2nd,≤100
8914040942,Chesapeake Bay Foundation,"CHESAPEAKE BAY FOUNDATION, INC., THE",≤100
161879897191723,EarthX,EarthX,≤100
123635384326141,National Council of Jewish Women (NCJW),NATIONAL COUNCIL OF JEWISH WOMEN INC,≤100
557113921291144,Learning Dynamics,4 Weeks To Read LLC,≤100
151235561684871,The Mama Bear Effect,mamabeareffect,≤100
24481937944,Theodore Roosevelt Conservation Partnership,"THEODORE ROOSEVELT CONSERVATION PARTNERSHIP, INC",≤100
711478725532801,Civiqs,Civiqs,≤100
1520483958208446,Seeger Weiss LLP,SEEGER WEISS LLP,≤100
400013980059152,Coworker.org,Coworker.org,≤100
112032985481195,TWU Local 100,TWU Local 100,≤100
2078647579047586,Project Pulso,Project Pulso,≤100
103376804451432,Trending Politics,I Love My Freedom,≤100
9538894955,John F. Kennedy Presidential Library and Museum,"John Fitzgerald Kennedy Library Foundation, Inc.",≤100
136648983036109,CommonBond Communities,COMMONBOND COMMUNITIES,≤100
238008626268343,Israel365,Teach for Israel Inc,≤100
571182609571332,NextGen America,NEXTGEN CLIMATE ACTION COMMITTEE,≤100
142533719528687,Unitas,Steven Bryant Page,≤100
56332452163,AMA Patients Action Network,American Medical Association,≤100
1447994318779650,AirMedCare Network,AIrMedCare Network,≤100
700941689954518,Defend Our Future,Defend Our Future,≤100
167968013767335,Julie Oliver,JULIE OLIVER FOR CONGRESS,≤100
151721606865,Intrepid Fallen Heroes Fund,Intrepid Fallen Heroes Fund,≤100
154085558004487,GopLogo,Michael Merrick Crooks,≤100
698400060189827,Dan Sullivan,Alaskans for Sullivan,≤100
105060269781,Premiere Collectibles,"Premiere Marketing, Inc.",≤100
1539972792944463,Forge Leadership Network,Forge Leadership Network,≤100
345504286342057,Keeping America Great Again,RightWingGear.com,≤100
125100301010794,North Dakota United,North Dakota United,≤100
108079170558988,Judge Josh Newton for Circuit Judge,Josh Newton for Circuit Judge Campaign Committee,≤100
28557150476,DonorsChoose,DONORSCHOOSE.ORG,≤100
100562019990818,U.S. Term Limits,U.S. Term Limits Inc.,≤100
100928564715182,Shout Your Truth,Jeffrey Warren Wright,≤100
14084625156,Susan G. Komen,Susan G. Komen,≤100
405469100189512,Still My President - Donald Trump,Red State Politics LLC,≤100
135403221037,City Journal,City Journal,≤100
103552127818728,Guu Tee,These ads ran without a disclaimer,≤100
32507971987,National Center for Missing & Exploited Children,These ads ran without a disclaimer,≤100
63033351608,Labtekwon,Ankh Ba Records and Nilewater Multimedia,≤100
689974648047487,Wudwurk,Wudwurk,≤100
114226275387369,RepublicEn,republicEn,≤100
121750354532995,Yale Program on Climate Change Communication,Yale Program on Climate Change Communication,≤100
892673067526965,Project War Path,Project War Path,≤100
339536359931816,Innovature Now,Innovature,≤100
109960873787334,Trumpclip,"Clip N Sip, LLC",≤100
73277646827,Trees for the Future,Trees for the Future,≤100
156994304362574,American Bridge,AMERICAN BRIDGE 21ST CENTURY,≤100
393733114026754,POWER 96.1,iHeartRadio,≤100
1884107931849913,Republicans for the Rule of Law,Defending Democracy Together,≤100
632974680487014,We Know Products,We Know Products,≤100
15771560300,Earthjustice,EARTHJUSTICE,≤100
310122703010899,Imagine What I Need,Michael Dewain Hanlon,≤100
965451360264888,Brian Burley for Congress,BRIAN BURLEY FOR CONGRESS,≤100
25254987383,Joyce Meyer Ministries,"JOYCE MEYER MINISTRIES, INC.",≤100
6236054211,Brady,Brady Campaign to Prevent Gun Violence,≤100
102483947898713,Kansas Community Coalition,Kansas Community Coalition,≤100
38471053686,Elizabeth Warren,"WARREN FOR PRESIDENT, INC.",≤100
1745236555735695,EverBright Kids,EverBright Kids,≤100
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA FOR CONGRESS,≤100
1891481047829323,Adopt a Democrat,Adopt a Democrat,≤100
101018071405012,Benefits USA,Dollar Informer,≤100
2332887206961207,Panfish Solar,Apex Clean Energy,≤100
115058793196716,Big Tree Pac,Big Tree PAC,≤100
45393753416,Alliance Defending Freedom,Alliance Defending Freedom,≤100
85273022315,NAMI,NAMI,≤100
296093157932840,The Fulcrum,Issue One,≤100
551158678560402,Epimonia,Epimonia LLC,≤100
129255907131113,NumbersUSA,NUMBERSUSA EDUCATION AND RESEARCH FOUNDATION,≤100
655065784538368,PredictIt,"PredictIt - Prediction Markets. A project of Victoria University of Wellington, PredictIt has been established to facilitate research into the way markets forecast events.",≤100
1424938841083415,Patrick M Simpson - Voting Songs,Voting Songs,≤100
