Page ID,Page Name,Disclaimer,Amount Spent (USD)
﻿104113087669604,Opportunity Arizona,Opportunity Arizona,≤100
407664862957433,Ammar Campa-Najjar for Congress,AMMAR CAMPA FOR CONGRESS,≤100
153704007991524,Women's Earth and Climate Action Network,Women's Earth and Climate Action Network,≤100
102047517918,The Commonwealth Fund,"COMMONWEALTH FUND, THE",≤100
519305544814653,Conservative Tribune by WJ,The Western Journal,≤100
313842111853,Patrick McHenry,McHenry For Congress,≤100
1282203485282121,Patriot Strong,Patriot Strong,≤100
118303441570966,Home Ownership Matters,NATIONAL ASSOCIATION OF REALTORS,≤100
2189265054726827,Liberty Tee Shop,www.libertyteeshop.com,≤100
202281636466702,Unseen,Unseen,≤100
107488974083876,The Case for Democratic Socialism,Peter Shaw,≤100
113892789980948,Vipan Bajwa,Vipan Bajwa for State Assembly 2020,≤100
1914561178824972,Trumped,Christopher  Cooper,≤100
271631837064,Feeding San Diego,Feeding San Diego,≤100
2102809453136561,Term Limit Pledge,TermLimitPledge.Org,≤100
357704677979748,American Conservation Coalition - ACC,American Conservation Coalition,≤100
44948378512,Destiny Image Publishers,"DESTINY IMAGE, INC.",≤100
144850842237429,Independentvoting.org,Independent Voting (IndependentVoting.org),≤100
307943569254319,Florida Rights Restoration Coalition,Florida Rights Restoration Coalition,≤100
1997948090437271,Global Emergency Response Coalition,Global Impact,≤100
301228420816284,Teresa Leger Fernandez,TERESA FOR ALL,≤100
110019893736048,Grandpas Against Trump,Richard Carlton Carlton Daley,≤100
254045970889,Institute for Social Ecology,Blair Nelson Taylor,≤100
7209432197,Chris Coons,CHRIS COONS FOR DELAWARE,≤100
181924628560212,SumOfUs,SumOfUs,≤100
117507751891,United Poultry Concerns,"UNITED POULTRY CONCERNS, INC",≤100
513785465632396,Airline Passengers for Justice,Airline Passengers for Justice,≤100
1306330389478264,Enbridge Line 3,Enbridge Inc.,≤100
66926603938,American Zionist Movement,"AMERICAN ZIONIST MOVEMENT, INC.",≤100
199657493971420,Curated by Facebook,Steven Matthew Garcia,≤100
